26/11/21;Estoque Fisico;por Produto;Fl   1
P r o d u t o;Descricao;Qtde;
;;;
0085805390501;5TH AVENUE 75 ML;0;
6291100177097;713 H 100ML;0;
085715166524;ABERCROMBIE AUTHENTIC EDP F 50ML;0;
085715166517;ABERCROMBIE AUTHENTIC F EDP 100ML;0;
085715166531;ABERCROMBIE AUTHENTIC F EDP 30ML;0;
085715166012;ABERCROMBIE AUTHENTIC H 100ML;1;
085715163134;ABERCROMBIE FITCH 30ML;0;
085715163127;ABERCROMBIE FITCH H 50ML;0;
085715163103;ABERCROMBIE FITCH H100ML;0;
7312040040100;ABOSOLUT RASPBERRY;2;
0123456789101;ABRIDOR 1PC 02;0;
0123456789105;ABRIDOR 2PC 06;0;
0123456789103;ABRIDOR 3PC 04;0;
0123456789104;ABRIDOR 3PC 05;0;
0123456789102;ABRIDOR 4PC 03;-3;
0123456789109;ABRIDOR 4PC 09;0;
0123456781010;ABRIDOR 4PC 10;0;
0123456781012;ABRIDOR 4PC 12;0;
0123456789107;ABRIDOR 5PC 07;0;
0123456789108;ABRIDOR 5PC 08;-1;
0123456781011;ABRIDOR 6PC 11;0;
5908287234154;ABRIDOR 7PC 01;0;
7312040070107;ABSOLUT APEACH;1;
7312040221004;ABSOLUT APPLE;1;
7312040090105;ABSOLUT CITRON;1;
7312040151004;ABSOLUT PEARS;1;
7312040017034;ABSOLUT TRADICIONAL;1;
7898416442339;ABSOLUTE HOMME 100ML;0;
3614271992932;ACQUA D GIO ABSOLU 125ML;0;
3614271992901;ACQUA D GIO ABSOLU 75ML;0;
3360372054559;ACQUA DI GIO F 100ML;0;
3360372054153;ACQUA DI GIO F 35ML;0;
3360372054160;ACQUA DI GIO F 50ML;0;
3360372058878;ACQUA DI GIO H 100ML;2;
3360372078500;ACQUA DI GIO H 200ML;0;
3360372058939;ACQUA DI GIO H 30ML;0;
3360372058861;ACQUA DI GIO H 50ML;0;
0000000000002;ACQUA DI GIO PROFONDO EDP 125ML;0;
3605521172525;ACQUA DI GIOIA EDP F 100ML;0;
3605521172648;ACQUA DI GIOIA EDP F 30ML;0;
--------------;-----------------------------------------------------;------------------------------------------;---------------------------
26/11/21;Estoque Fisico;por Produto;Fl   4
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
Loja:  03  BIAN;CA NUNES CHIAH-ME;;
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
P r o d u t o;Descricao;Qtde;
;;;
3605521172587;ACQUA DI GIOIA EDP F 50ML;2;
3614273428644;ACQUA GIO PROFONDO LIGHTS 75ML;0;
6291100179466;ACTIVE MAN 100ML;0;
6291100170098;ACTIVE WOMAN 100ML;0;
3412242310057;ADIDAS 50ML;0;
3412241210303;ADIDAS ENERGY 100ML;0;
5017986056049;ADMIRE 100 ML;0;
8410225536031;AGATHA FLOREVER EDT 80ML;0;
8410225542988;AGATHA REBEL LOVE 80ML;0;
8715658969945;AGENT SPORTS 100ML;0;
8715658969938;AGENT URBAN 100ML;0;
3442151008721;AL.MATINO BLACK H 100ML;0;
3439602800119;ALIEN EDP 30ML;0;
3439602800317;ALIEN EDP 60ML;0;
3439602802113;ALIEN EDP 90ML;0;
3439602810118;ALIEN EDT 30ML;0;
5060053110793;ALL ME F 100ML;0;
3145891236408;ALLU SPORT 150ML;0;
0000000000394;ALLURE BLANCHE 50ML H;0;
3145891274608;ALLURE BLANCHE H 100ML;0;
3145891125306;ALLURE EDP F 100ML;0;
3145891124606;ALLURE EDT F 100ML;0;
3145891124507;ALLURE F 50ML;0;
3145891214604;ALLURE H 100ML;0;
3145891214505;ALLURE H 50ML;0;
3145891297201;ALLURE SENSUELLE 50ML;0;
3145891297300;ALLURE SENSUELLE EDP 100ML;0;
3145891294606;ALLURE SENSUELLE EDT 100ML;0;
3145891236309;ALLURE SPORT 100ML;1;
3145891236200;ALLURE SPORT 50ML;0;
3145891235609;ALLURE SPORT EXTREME H 100ML;0;
3145891235500;ALLURE SPORT EXTREME H 50ML;0;
3274878122561;AMARIGE 100ML;1;
3274871122506;AMARIGE 30ML;0;
3274870122552;AMARIGE 50ML;0;
3274870123467;AMARIGE MARIAGE 100ML;0;
3274870123450;AMARIGE MARIAGE 50ML;0;
3274871122476;AMARIGE YLANG 60ML;0;
3360373063680;AMOR AMOR 100ML;1;
3360373063697;AMOR AMOR 30ML;0;
3360373063703;AMOR AMOR 50ML;2;
3605521487742;AMOR AMOR FORBIDDEN KISS F 100ML;0;
3605521487537;AMOR AMOR FORBIDDEN KISS F 30ML;0;
3605520972065;AMOR AMOR SUNRISE 50ML;0;
3605520663871;AMOR AMOR TENTATION 100ML;0;
3605520663932;AMOR AMOR TENTATION 50ML;0;
3360373047994;AMOR POUR HOMME 40ML;0;
3360373047130;AMOR POUR HOMME 75ML;0;
3454090002012;AMOUR TOUJOURS F 100ML;0;
7899026458086;AMPOLA ABSOLUT REPAIR;-2;
000000044L104;AMPOLA FIBERCEUT;0;
--------------;-----------------------------------------------------;------------------------------------------;---------------------------
26/11/21;Estoque Fisico;por Produto;Fl   5
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
Loja:  03  BIAN;CA NUNES CHIAH-ME;;
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
P r o d u t o;Descricao;Qtde;
;;;
3360374533205;ANAIS ANAIS 100ML;0;
3360370512044;ANAIS ANAIS 30ML;0;
3360374507206;ANAIS ANAIS 50ML;0;
3605521869807;ANAIS ANAIS PREMIER 50ML;0;
3274870373268;ANGE OU DEMON EDP 100ML;1;
3274870373305;ANGE OU DEMON EDP 30ML;0;
3274870373251;ANGE OU DEMON EDP 50ML;0;
0000000000413;ANGE OU DEMON EDT 100ML;0;
3274870372209;ANGE OU DEMON EDT 30ML;0;
0000000000412;ANGE OU DEMON EDT 50ML;0;
3274870422300;ANGE OU DEMON ELIXIR 30ML;0;
3274870422362;ANGE OU DEMON ELIXIR F 100ML;0;
3274870422355;ANGE OU DEMON ELIXIR F 50ML;0;
3274870374265;ANGE OU DEMON SECRET 100ML;0;
3274870374258;ANGE OU DEMON SECRET 50ML;0;
3439600203097;ANGEL 25ML;2;
3439600282887;ANGEL 25ML+5ML;0;
3439600204094;ANGEL 50ML;0;
3439600414011;ANGEL CREME CORPO 200ML;0;
3439600217094;ANGEL EDP 100ML;0;
3439600244090;ANGEL F 50ML REFIL;0;
3439600604511;ANGEL H 100ML;0;
3439600625097;ANGEL H 50ML;0;
3439600008821;ANGEL MUSE F 30ML;0;
3439600008838;ANGEL MUSE F 50ML;0;
0892456000280;ANIMALE ANIMALE F 100ML;0;
0000000000381;ANIMALE ANIMALE F 30ML;0;
3363930651436;ANIMALE ANIMALE F 50ML;0;
3363930671632;ANIMALE ANIMALE H 100ML;-1;
892456000662;ANIMALE ANIMALE H 200ML;-2;
3363930671335;ANIMALE ANIMALE H 30ML;0;
0892456000303;ANIMALE ANIMALE H 50ML;0;
892456000549;ANIMALE AZUL 100ML;0;
892456000556;ANIMALE AZUL 50ML;0;
878813001251;ANIMALE BLACK H 100ML;0;
0000000000406;ANIMALE BODY H;4;
878813000230;ANIMALE CREME 200ML;4;
3608940502904;ANIMALE F 100ML;0;
3608940502867;ANIMALE F 30ML;0;
3608940502881;ANIMALE F 50ML;0;
878813000094;ANIMALE GOLD H 100ML;4;
3363930681631;ANIMALE H 100ML;4;
892456000518;ANIMALE H 200ML;2;
3363930681341;ANIMALE H 30ML;0;
3363930681433;ANIMALE H 50ML;0;
892456000648;ANIMALE INSTINCT F 100ML;0;
892456000853;ANIMALE INSTINCT H 100ML;0;
892456000983;ANIMALE INTENSE F 100ML;0;
892456000341;ANIMALE INTENSE H 100ML;0;
892456000969;ANIMALE LOVE EDP 100ML;0;
892456000976;ANIMALE LOVE EDP 50ML;0;
--------------;-----------------------------------------------------;------------------------------------------;---------------------------
26/11/21;Estoque Fisico;por Produto;Fl   6
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
Loja:  03  BIAN;CA NUNES CHIAH-ME;;
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
P r o d u t o;Descricao;Qtde;
;;;
878813000063;ANIMALE SEDUCTION EDP F 100ML;1;
878813000025;ANIMALE SEDUCTION H 100ML;1;
878813000193;ANIMALE SEXY EDP 30ML;6;
878813000209;ANIMALE SEXY EDP F 100ML;3;
8924556000419;ANIMALE SPORT H 50ML;0;
